来源页面	站外链接	标题
http://wjw.sm.gov.cn/szfgzjg/wsj/zfxxgkml/gfxwj_2431/202509/t20250923_2157582.htm	https://www.smrcw.org.cn/	https://www.smrcw.org.cn/
http://wjw.sm.gov.cn/szfgzjg/wsj/zfxxgkml/gfxwj_2431/202309/t20230905_1939868.htm	https://rcfw.smiid.cn/	https://rcfw.smiid.cn/
http://www.sm.gov.cn/zw/zfxxgkzdgz/jy/tsjy_1103/202311/t20231115_1975392.htm	http://smtj.basic.fj.smartedu.cn/%EF%BC%8C%E4%B8%8B%E8%BD%BD%E6%8A%A5%E5%90%8D%E8%A1%A8%EF%BC%8C%E5%A6%82%E5%AE%9E%E5%AE%8C%E6%95%B4%E5%A1%AB%E5%86%99%E6%8A%A5%E5%90%8D%E8%A1%A8%E3%80%82%E4%B8%8D%E5%85%B7%E5%A4%87%E4%B8%8A%E7%BD%91%E6%9D%A1%E4%BB%B6%E7%9A%84%EF%BC%8C%E5%8F%AF%E7%9B%B4%E6%8E%A5%E5%88%B0%E4%B8%89%E6%98%8E%E5%B8%82%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%A6%E6%A0%A1%E6%88%96%E8%87%B4%E4%BF%A1%E5%AD%A6%E6%A0%A1%E7%B4%A2%E8%A6%81%E6%8A%A5%E5%90%8D%E8%A1%A8%E3%80%82	http://smtj.basic.fj.smartedu.cn/ 下载，或到各县（市、区）教育局 、 残联、三明市特殊教育学校领取，需如实完整填写相关信息。
http://www.sm.gov.cn/zw/zfxxgkzdgz/jy/gzjy/202403/t20240318_2010154.htm	http://www.eeafj.cn/	www.eeafj.cn
http://smjy.sm.gov.cn/zwzx/bjwj/202509/t20250922_2156596.htm	http://www.jszg.edu.cn/	www.jszg.edu.cn
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/ghjh/202208/t20220805_1815248.htm	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131723	第一章 发展基础与面临形势
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/ghjh/202208/t20220805_1815248.htm	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131724	第一节 发展现状
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/ghjh/202208/t20220805_1815248.htm	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131725	第二节 发展形势
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/ghjh/202208/t20220805_1815248.htm	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131726	第二章 总体 要 求
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/ghjh/202208/t20220805_1815248.htm	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131727	第一节 指导思想
